kennel,animalid,jurisdiction,intype,insubtype,indate,surreason,outtype,outsubtype,outdate,animaltype,sex,bites,petsize,color,breed,sourcezipcode,ObjectId
INTAKE,A430999,40204,OWNER SUR,EUTH REQ,2021-01-07 00:00:00,EUTH MED,EUTH,REQUESTED,2021-01-07 00:00:00,DOG,N,N,LARGE,WHITE / TAN,BASSET HOUND,40204,1
FOSTER,A423884,40211,STRAY,OTC,2025-03-07 00:00:00,STRAY,FOSTER,STRAY,2025-03-12 00:00:00,DOG,N,Y,SMALL,BLACK / TAN,MIN PINSCHER / MIN PINSCHER,40213,2
FOSTER,A423884,40213,FOSTER,RETURN,2025-04-13 00:00:00,FOSTER RET,ADOPTION,FOSTER,2025-04-13 00:00:00,DOG,N,Y,SMALL,BLACK / TAN,MIN PINSCHER / MIN PINSCHER,40213,3
N47,A583388,40228,OWNER SUR,OTC,2025-05-05 00:00:00,OWNER MED,ADOPTION,WALK IN,2025-05-20 00:00:00,CAT,N,N,X-LRG,ORANGE,DOMESTIC SH,40228,4
FREEZER,A558504,40215,STRAY,FIELD,2022-02-21 00:00:00,DOA,DISPOSAL,NECROPSY,2022-03-09 00:00:00,DOG,N,N,MED,BLUE,AMERICAN STAFF / MIX,40218,5
FREEZER,A477768,40299,DISPOSAL,OWNER,2021-04-02 00:00:00,DOA,DISPOSAL,BY OWNER,2021-04-02 00:00:00,DOG,N,N,SMALL,BLACK / BLACK,CHIHUAHUA SH / MIX,40299,6
202,A526152,40214,STRAY,OTC,2022-05-30 00:00:00,STRAY,RTO,IN KENNEL,2022-05-30 00:00:00,DOG,N,N,LARGE,BLACK / WHITE,ALASKAN HUSKY / MIX,40208,7
603,A672910,40211,CONFISCATE,ABANDONED,2021-09-04 00:00:00,ABANDON,EUTH,BEHAV OBSV,2021-09-14 00:00:00,DOG,M,Y,MED,TAN,PIT BULL,40218,8
C121,A673163,40216,STRAY,FIELD,2024-07-19 00:00:00,STRAY,DIED,IN KENNEL,2024-07-27 00:00:00,CAT,N,Y,LARGE,ORANGE,DOMESTIC SH,40216,9
N04,A688218,40223,STRAY,OTC,2021-01-17 00:00:00,STRAY,ADOPTION,WALK IN,2021-01-29 00:00:00,DOG,S,N,MED,WHITE / BLACK,PIT BULL,40223,10
N16,A688292,40218,STRAY,FIELD,2021-01-19 00:00:00,STRAY,FOSTER,,2021-03-21 00:00:00,DOG,S,N,MED,BROWN / WHITE,PIT BULL,40218,11
TNR/SNR,A688304,40216,STRAY,OTC,2021-01-20 00:00:00,STRAY,SNR,,2021-01-22 00:00:00,CAT,S,N,MED,TORTIE,DOMESTIC SH,40216,12
TNR/SNR,A688305,40216,STRAY,OTC,2021-01-20 00:00:00,STRAY,SNR,,2021-01-22 00:00:00,CAT,S,N,MED,GRAY,DOMESTIC SH,40216,13
INTAKE,A688495,40212,STRAY,OTC,2021-02-10 00:00:00,STRAY,TNR,CARETAKER,2021-02-11 00:00:00,CAT,N,N,MED,BLK TABBY,DOMESTIC SH,40212,14
INTAKE,A688528,40258,STRAY,OTC,2021-02-23 00:00:00,STRAY,TNR,CARETAKER,2021-02-25 00:00:00,CAT,N,N,MED,SILVER / CREAM,DOMESTIC SH,40258,15
INTAKE,A688531,40258,STRAY,OTC,2021-02-23 00:00:00,STRAY,TNR,CARETAKER,2021-02-25 00:00:00,CAT,F,N,MED,BLK TABBY,DOMESTIC SH,40258,16
INTAKE,A688566,40272,STRAY,OTC,2021-02-24 00:00:00,STRAY,TNR,CARETAKER,2021-02-26 00:00:00,CAT,N,N,MED,BLK TABBY / WHITE,DOMESTIC SH,40272,17
N42,A688808,40213,STRAY,OTC,2021-02-02 00:00:00,STRAY,ADOPTION,INTERNET,2021-02-08 00:00:00,CAT,S,N,MED,GRAY TABBY,DOMESTIC SH,40213,18
ACO UNIT,A688864,40212,STRAY,FIELD,2021-02-03 00:00:00,STRAY,RTO,IN FIELD,2021-02-03 00:00:00,DOG,S,N,LARGE,BR BRINDLE / WHITE,PIT BULL / MIX,40218,19
FOSTER,A688921,40215,FOSTER,RETURN,2021-04-08 00:00:00,MOVE,ADOPTION,FOSTER,2021-04-08 00:00:00,CAT,N,N,LARGE,GRAY / WHITE,DOMESTIC SH,40214,20
308,A688944,40214,STRAY,OTC,2021-02-05 00:00:00,STRAY,RTO,IN KENNEL,2021-02-09 00:00:00,DOG,S,N,LARGE,TAN / WHITE,GERM SHEPHERD / LABRADOR RETR,40214,21
N34,A689013,40212,STRAY,FIELD,2021-05-28 00:00:00,ABANDON,ADOPTION,INTERNET,2021-06-22 00:00:00,DOG,S,N,MED,GRAY,PIT BULL,40218,22
N18,A689013,40229,RETURN,ADOPTION,2021-07-17 00:00:00,CHASES ANI,ADOPTION,WALK IN,2021-07-18 00:00:00,DOG,S,N,MED,GRAY,PIT BULL,40229,23
N29,A689013,40214,RETURN,ADOPTION,2021-06-26 00:00:00,MOVE,ADOPTION,INTERNET,2021-06-29 00:00:00,DOG,S,N,MED,GRAY,PIT BULL,40214,24
C132,A689031,40218,STRAY,OTC,2021-02-08 00:00:00,STRAY,RTF,,2021-02-16 00:00:00,CAT,N,N,LARGE,GRAY / WHITE,DOMESTIC LH,40218,25
C309,A689031,40218,STRAY,OTC,2022-10-24 00:00:00,STRAY,RTF,,2022-11-02 00:00:00,CAT,N,N,LARGE,GRAY / WHITE,DOMESTIC LH,40218,26
N38,A689052,40203,FOSTER,RETURN,2021-03-06 00:00:00,STRAY,ADOPTION,WALK IN,2021-03-07 00:00:00,CAT,S,N,SMALL,GRAY,DOMESTIC SH,40220,27
NECROPSY,A623406,40291,OWNER SUR,OTC,2024-11-23 00:00:00,AGG PEOPLE,EUTH,REQUESTED,2024-11-26 00:00:00,DOG,S,Y,MED,BLACK / WHITE,LABRADOR RETR / MIX,40291,28
